user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Unknown_BY606-001R0001_bin.1	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	GCF_010669225.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	98.19	0.938	GCF_010669225.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	98.19	0.938	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900556715.1, s__Megamonas sp900556715, 95.0, 92.49, 0.68; GCF_900187035.1, s__Megamonas hypermegale, 95.0, 82.71, 0.184	71.44	11	N/A	N/A
Unknown_BY606-001R0001_bin.11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.07	11	0.95823	N/A
Unknown_BY606-001R0001_bin.15	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.5	11	0.87724	N/A
Unknown_BY606-001R0001_bin.17	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_025149465.1, s__Thomasclavelia spiroformis, 95.0, 84.49, 0.37; GCF_018369555.1, s__Thomasclavelia spiroformis_A, 95.0, 84.14, 0.339; GCF_900102365.1, s__Thomasclavelia cocleata, 95.0, 82.36, 0.207; GCA_021770925.1, s__Thomasclavelia sp021770925, 95.0, 82.32, 0.194; GCA_000508865.1, s__Thomasclavelia sp000508865, 95.0, 81.83, 0.197; GCF_000686665.1, s__Thomasclavelia saccharogumia, 95.0, 81.34, 0.188	88.22	11	0.9688	N/A
Unknown_BY606-001R0001_bin.21	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	98.54	0.95	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	98.54	0.95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 89.78, 0.637; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 88.57, 0.579; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 88.1, 0.551; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 87.18, 0.461; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 87.16, 0.443; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 86.71, 0.407; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 86.48, 0.401; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 85.23, 0.307; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 84.79, 0.312; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 84.19, 0.223; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 82.8, 0.166	75.0	11	N/A	N/A
Unknown_BY606-001R0001_bin.28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Avibacteroides;s__	N/A	N/A	N/A	N/A	N/A	GCA_944320965.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Avibacteroides;s__Avibacteroides sp944320965	93.35	0.778	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Avibacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	93.19	11	0.99411	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Unknown_BY606-001R0001_bin.3	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio gallistercoris	GCA_019118745.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio gallistercoris	97.83	0.877	GCA_019118745.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio gallistercoris	97.83	0.877	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_944324525.1, s__Desulfovibrio sp944324525, 95.0, 90.82, 0.675; GCF_944327235.1, s__Desulfovibrio sp944327235, 95.0, 90.28, 0.63; GCF_944324935.1, s__Desulfovibrio sp944324935, 95.0, 88.84, 0.58; GCA_944327045.1, s__Desulfovibrio sp944327045, 95.0, 88.76, 0.548; GCA_019118345.1, s__Desulfovibrio intestinavium, 95.0, 84.09, 0.352	83.24	11	N/A	N/A
Unknown_BY606-001R0001_bin.35	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.43	11	0.85673	N/A
Unknown_BY606-001R0001_bin.38	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__CASDZP01;s__CASDZP01 sp949285535	GCA_949285535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__CASDZP01;s__CASDZP01 sp949285535	97.66	0.911	GCA_949285535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__CASDZP01;s__CASDZP01 sp949285535	97.66	0.911	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__CASDZP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	90.88	11	N/A	N/A
Unknown_BY606-001R0001_bin.41	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	GCF_000325665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	98.72	0.934	GCF_000325665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	98.72	0.934	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_019402445.1, s__Brachyspira pilosicoli_B, 95.0, 94.7, 0.829; GCF_934747485.1, s__Brachyspira sp934747485, 95.0, 91.9, 0.748; GCF_008016535.1, s__Brachyspira pilosicoli_A, 95.0, 91.7, 0.704; GCF_009755885.1, s__Brachyspira sp009755885, 95.0, 90.96, 0.805; GCA_934725655.1, s__Brachyspira sp934725655, 95.0, 90.21, 0.558; GCF_000223215.1, s__Brachyspira intermedia, 95.0, 82.49, 0.153	91.42	11	N/A	N/A
